type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
TRANSFER,26923.42,C1108517064,11049.67,0,C1983747920,199404.91,95508.95,0,0
TRANSFER,53783.57,C511354923,0,0,C1899073220,75514,420946.86,0,0
TRANSFER,181,C1305486145,181,0,C553264065,0,0,1,0
CASH_OUT,181,C840083671,181,0,C38997010,21182,0,1,0
TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,1,0
CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,1,0
TRANSFER,20128,C137533655,20128,0,C1848415041,0,0,1,0
CASH_OUT,20128,C1118430673,20128,0,C339924917,6268,12145.85,1,0
CASH_OUT,416001.33,C749981943,0,0,C667346055,102,9291619.62,1,0
TRANSFER,1277212.77,C1334405552,1277212.77,0,C431687661,0,0,1,0
CASH_OUT,1277212.77,C467632528,1277212.77,0,C716083600,0,2444985.19,1,0
TRANSFER,35063.63,C1364127192,35063.63,0,C1136419747,0,0,1,0
CASH_OUT,35063.63,C1635772897,35063.63,0,C1983025922,31140,7550.03,1,0
TRANSFER,25071.46,C669700766,25071.46,0,C1384210339,0,0,1,0
CASH_OUT,25071.46,C1275464847,25071.46,0,C1364913072,9083.76,34155.22,1,0
CASH_OUT,132842.64,C13692003,4499.08,0,C297927961,0,132842.64,1,0
TRANSFER,235238.66,C1872047468,235238.66,0,C116289363,0,0,1,0
CASH_OUT,235238.66,C1499825229,235238.66,0,C2100440237,0,235238.66,1,0
TRANSFER,1096187.24,C1093223281,1096187.24,0,C2063275841,0,0,1,0
CASH_OUT,1096187.24,C77163673,1096187.24,0,C644345897,0,1096187.24,1,0
TRANSFER,963532.14,C1440057381,963532.14,0,C268086000,0,0,1,0
CASH_OUT,963532.14,C430329518,963532.14,0,C991505714,132382.57,1095914.71,1,0
TRANSFER,14949.84,C140702728,14949.84,0,C634210724,0,0,1,0
CASH_OUT,14949.84,C395257482,14949.84,0,C1032986144,18161.79,33111.63,1,0
TRANSFER,18627.02,C1375503918,18627.02,0,C234430897,0,0,1,0
CASH_OUT,18627.02,C175961135,18627.02,0,C1711105800,147251.58,165878.6,1,0
TRANSFER,10539.37,C1134864869,10539.37,0,C118648358,0,0,1,0
CASH_OUT,10539.37,C1984954272,10539.37,0,C124540047,0,10539.37,1,0
TRANSFER,22877,C1247938090,22877,0,C1002031672,0,0,1,0
CASH_OUT,22877,C2126545173,22877,0,C573200870,0,22877,1,0
TRANSFER,10000000,C7162498,12930418.44,2930418.44,C945327594,0,0,1,0
CASH_OUT,10000000,C351297720,10000000,0,C766681183,0,9941904.21,1,0
TRANSFER,2930418.44,C2047521920,2930418.44,0,C449261773,0,0,1,0
CASH_OUT,2930418.44,C2044690596,2930418.44,0,C932583850,3616012.1,6963508.84,1,0
TRANSFER,169941.73,C540962910,169941.73,0,C2127862399,0,0,1,0
CASH_OUT,169941.73,C2026325575,169941.73,0,C1394526584,0,169941.73,1,0
TRANSFER,13707.11,C17222024,13707.11,0,C410033330,0,0,1,0
CASH_OUT,13707.11,C556223230,13707.11,0,C2094777811,0,13707.11,1,0
TRANSFER,86070.17,C1844941220,86070.17,0,C1191544932,0,0,1,0
CASH_OUT,86070.17,C1699873763,86070.17,0,C560041895,0,86070.17,1,0
TRANSFER,120074.73,C1409933277,120074.73,0,C162114152,0,0,1,0
CASH_OUT,120074.73,C1174000532,120074.73,0,C410033330,0,120074.73,1,0
TRANSFER,60726.57,C383882703,60726.57,0,C1807010830,0,0,1,0
CASH_OUT,60726.57,C840095827,60726.57,0,C803116137,13010502.78,13071229.35,1,0
TRANSFER,10119.47,C1775746074,10119.47,0,C746009679,0,0,1,0
CASH_OUT,10119.47,C213063852,10119.47,0,C922511709,0,10119.47,1,0
TRANSFER,33332.86,C2025652936,33332.86,0,C1662235713,0,0,1,0
CASH_OUT,33332.86,C685428529,33332.86,0,C1626759869,31002,0,1,0
TRANSFER,25975.86,C864622150,25975.86,0,C41792607,0,0,1,0
CASH_OUT,25975.86,C1004271827,25975.86,0,C451934410,98152,28041.27,1,0
TRANSFER,26768.5,C457596841,26768.5,0,C1956477953,0,0,1,0
CASH_OUT,26768.5,C682812632,26768.5,0,C256417920,101976,128744.5,1,0
TRANSFER,30521.02,C903383636,30521.02,0,C904300960,0,0,1,0
CASH_OUT,30521.02,C1813769162,30521.02,0,C1249547869,0,30521.02,1,0
TRANSFER,216422,C666642000,216422,0,C1315078366,0,0,1,0
CASH_OUT,216422,C1547714604,216422,0,C7881234,10097,48630.5,1,0
TRANSFER,17320.91,C788790720,17320.91,0,C1589547066,0,0,1,0
CASH_OUT,17320.91,C436661284,17320.91,0,C522173599,6244.44,0,1,0
TRANSFER,17246,C1034673425,17246,0,C1379589736,0,101717.84,1,0
CASH_OUT,17246,C1484518113,17246,0,C978609035,0,17246,1,0
TRANSFER,10565,C777407608,10565,0,C1790657739,0,0,1,0
CASH_OUT,10565,C1191732945,10565,0,C418964192,36275,24380.72,1,0
TRANSFER,10224,C365589282,10224,0,C908043384,0,0,1,0
CASH_OUT,10224,C1284098442,10224,0,C801412408,0,10224,1,0
TRANSFER,85354.69,C558400671,85354.69,0,C527482085,0,0,1,0
CASH_OUT,85354.69,C158801009,85354.69,0,C382431057,11170,10612.55,1,0
TRANSFER,13704,C1735554279,13704,0,C12793273,0,1658746.09,1,0
CASH_OUT,13704,C1421965867,13704,0,C1438594533,3382.84,143675.35,1,0
TRANSFER,262434.54,C2101686389,262434.54,0,C612008977,0,0,1,0
CASH_OUT,262434.54,C383717053,262434.54,0,C380242442,19525.79,438233.86,1,0
TRANSFER,21729,C1686905633,21729,0,C824421402,0,0,1,0
CASH_OUT,21729,C693427358,21729,0,C1101441872,27335,0,1,0
TRANSFER,5460002.91,C666654362,5460002.91,0,C1726301214,0,0,1,0
CASH_OUT,5460002.91,C1588880909,5460002.91,0,C1570256460,0,9281535.44,1,0
TRANSFER,164,C1455969984,164,0,C2119910556,0,0,1,0
CASH_OUT,164,C1173659886,164,0,C1769947269,4068,0,1,0
TRANSFER,21571,C786114805,21571,0,C1666314150,0,0,1,0
CASH_OUT,21571,C452475723,21571,0,C2089016471,30797.41,71140.3,1,0
TRANSFER,441445.58,C1023505879,441445.58,0,C847761155,0,0,1,0
CASH_OUT,441445.58,C398085606,441445.58,0,C2072030256,98993.5,0,1,0
CASH_OUT,181728.11,C2102265902,0,0,C789014007,11397,184477.77,1,0
TRANSFER,222,C1961506277,222,0,C378841819,0,267095.19,1,0
CASH_OUT,222,C1737727444,222,0,C588779235,24708,171647.35,1,0
TRANSFER,1996.17,C1198040187,1996.17,0,C1828047633,0,0,1,0
CASH_OUT,1996.17,C858959216,1996.17,0,C864078397,2559.74,4555.92,1,0
TRANSFER,1078013.76,C1026280121,0,0,C277510102,0,970749.68,1,0
TRANSFER,89631.24,C74534388,89631.24,0,C1748042844,0,0,1,0
CASH_OUT,89631.24,C1938531779,89631.24,0,C2048578791,21175,0,1,0
TRANSFER,29707.86,C1825456600,29707.86,0,C570409417,0,0,1,0
CASH_OUT,29707.86,C515973302,29707.86,0,C170071280,10935,0,1,0
TRANSFER,43092,C1683174795,43092,0,C427998326,0,0,1,0
CASH_OUT,43092,C1395071924,43092,0,C79685693,660641.74,1158662.9,1,0
TRANSFER,556218.01,C1769581889,556218.01,0,C217441120,0,0,1,0
CASH_OUT,556218.01,C589143360,556218.01,0,C1992550266,0,582265.81,1,0
TRANSFER,11308,C299933576,11308,0,C1060999444,0,0,1,0
CASH_OUT,11308,C921533797,11308,0,C424669538,0,302550.56,1,0
TRANSFER,350705.74,C1452168793,350705.74,0,C399194578,0,1184633.07,1,0
CASH_OUT,350705.74,C58527359,350705.74,0,C582901057,894760.68,1794033.65,1,0
TRANSFER,2539898.07,C394488466,2539898.07,0,C575638324,0,261290.69,1,0
CASH_OUT,2539898.07,C728718059,2539898.07,0,C1013511446,968,1842864.22,1,0
TRANSFER,361559.69,C1287719145,361559.69,0,C352239275,0,141302.12,1,0
CASH_OUT,361559.69,C684758020,361559.69,0,C1769042905,504667.31,189441.24,1,0
TRANSFER,1154353.99,C670587931,1154353.99,0,C150406565,0,10872.9,1,0
CASH_OUT,1154353.99,C1034219836,1154353.99,0,C1195589213,162222,1965587.6,1,0
TRANSFER,21922,C102617052,21922,0,C760675871,0,0,1,0
CASH_OUT,21922,C1499032143,21922,0,C1508330669,1929861.61,2046918.8,1,0
TRANSFER,994453.2,C1121789613,1437370.87,442917.67,C254839817,194812.76,665743.67,1,0
TRANSFER,1055,C666486325,1055,0,C279565067,0,0,1,0
CASH_OUT,1055,C1764109750,1055,0,C1522743169,75179,0,1,0
TRANSFER,244068.01,C1087133093,244068.01,0,C1855553543,0,0,1,0
CASH_OUT,244068.01,C507466068,244068.01,0,C706331499,0,338538.16,1,0
TRANSFER,59835,C1568400442,59835,0,C1262169546,0,0,1,0
CASH_OUT,59835,C1020461364,59835,0,C2144015041,255480.76,315315.76,1,0
CASH_OUT,277970.88,C489647033,0,0,C571514738,0,277970.88,1,0
TRANSFER,93810.76,C481501970,93810.76,0,C1262577882,0,0,1,0
CASH_OUT,93810.76,C1190429229,93810.76,0,C2104652067,4096048.05,4189858.81,1,0
TRANSFER,503405.88,C1446009472,503405.88,0,C2010733400,0,0,1,0
CASH_OUT,503405.88,C140359285,503405.88,0,C2020337583,29669,533074.88,1,0
TRANSFER,2662734.59,C1182702586,2662734.59,0,C2143409210,0,0,1,0
CASH_OUT,2662734.59,C813115168,2662734.59,0,C401825929,14165.62,2930405.33,1,0
TRANSFER,9217.19,C184586799,9217.19,0,C812377986,0,96795.6,1,0
CASH_OUT,9217.19,C1105700111,9217.19,0,C1767952032,0,9217.19,1,0
TRANSFER,2100,C785601242,2100,0,C1576053316,0,0,1,0
CASH_OUT,2100,C169099320,2100,0,C697156329,112512.48,114612.48,1,0
TRANSFER,1933920.8,C1706582969,0,0,C461905695,1283762.85,3217683.65,1,0
TRANSFER,313418.28,C711446907,313418.28,0,C888769567,0,97980.88,1,0
CASH_OUT,313418.28,C2021456831,313418.28,0,C157591472,688164.64,1029922.17,1,0
TRANSFER,12461,C2079232448,12461,0,C585834595,0,0,1,0
CASH_OUT,12461,C938980312,12461,0,C621014131,27964.11,40425.11,1,0
TRANSFER,19472,C1101705841,19472,0,C925285469,0,0,1,0
CASH_OUT,19472,C1205151454,19472,0,C664770316,0,19472,1,0
TRANSFER,3964129.99,C576568419,3964129.99,0,C1571546632,0,0,1,0
CASH_OUT,3964129.99,C1098250442,3964129.99,0,C1140712423,1912955.54,5811064.07,1,0
TRANSFER,1041647.06,C345293642,1041647.06,0,C937194908,0,0,1,0
CASH_OUT,1041647.06,C169939918,1041647.06,0,C1673501963,52730.33,1094377.39,1,0
TRANSFER,2066467.64,C1223631235,2066467.64,0,C1281019843,0,81209.81,1,0
CASH_OUT,2066467.64,C684252268,2066467.64,0,C2027569559,194510.24,3098566.67,1,0
CASH_OUT,149668.66,C227115333,0,0,C460735540,44170.11,193838.76,1,0
TRANSFER,2007,C439464764,2007,0,C562360384,0,0,1,0
CASH_OUT,2007,C1331829443,2007,0,C127509847,129917.8,250910.76,1,0
CASH_OUT,222048.71,C265790428,0,0,C1700442291,2979,225027.71,1,0
TRANSFER,8677,C288028999,8677,0,C184294001,0,0,1,0
CASH_OUT,8677,C343345083,8677,0,C200064275,225127.62,233804.62,1,0
TRANSFER,408,C2021466585,408,0,C1864486913,0,226013.18,1,0
CASH_OUT,408,C1894004688,408,0,C1293978242,898297.85,1075854.14,1,0
TRANSFER,48375.02,C920803432,48375.02,0,C1767389067,0,0,1,0
CASH_OUT,48375.02,C1894578299,48375.02,0,C590035788,374803.26,658520.33,1,0
TRANSFER,4022667.54,C735463888,4022667.54,0,C1548348754,0,0,1,0
CASH_OUT,4022667.54,C79951219,4022667.54,0,C1499489682,80136.56,4057191.21,1,0
CASH_OUT,454859.39,C1274887619,0,0,C2146670328,0,454859.39,1,0
TRANSFER,1161495.82,C1864459372,1161495.82,0,C537531657,0,0,1,0
CASH_OUT,1161495.82,C165094398,1161495.82,0,C1966002811,319036.02,1565123.81,1,0
